Style No,Bezeichnung,VK,Gewicht,Zusammensetzung,Color,Size,Copies,,Description,LangerChen Tags,metafields.product-details.Details,metafields.product-details.Eco%20%26%20Care,metafields.product-icons.breathable,metafields.product-icons.coating,metafields.product-icons.high-density,metafields.product-icons.membrane,metafields.product-icons.natural-dye,metafields.product-icons.pure-organic,metafields.product-icons.recycled,metafields.product-icons.repellent,metafields.product-icons.resistant,metafields.product-icons.vegan,metafields.product-icons.windbreaker,,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
C011CN02,Coat Ariza,"249,00€",,"45% org. Co, 30% rec. Nylon, 25% PU",rooibos,XS,1,,Mid seat coverage Non wired powermesh back liner low curve to the reverse fixed straps quick drying comfortable.,AW2020,Crisp fresh iconic elegant timeless clean perfume neck straight sharp silhouette and dart detail. Invisible pockets lightweight non-crease concealed zip polyester cool hand wash crochet lace. Print perfect funky inspired pull ring side pockets pink black and orange print thick fabric skirt. Best seller signature waist cut pockets cotton-mix navy blue tailoring elegant cashmere. A-line short sleeves above the knee red elastane peplum detail wool-mix soft pink lining.,Side pockets flattering fit check trim to the undercollar interior lining vintage-inspired look three-quarter length sleeves. Khaki cotton blend military jacket flattering fit mock horn buttons and patch pockets showerproof black lightgrey. Side pockets flattering fit check trim to the undercollar interior lining vintage-inspired look three-quarter length sleeves. Side pockets flattering fit check trim to the undercollar interior lining vintage-inspired look three-quarter length sleeves. Iconic style heritage brand outerwear collection lightweight showerproof material full zip fastening adjustable sleeves.,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,C011CN02-Coat-Ariza-Rooibos,Coat Ariza (Rooibos),,LangerChen,Coat,"aw2020, coat, rooibos, coating, high-density, windbreaker, women, org. co, rec. nylon, pu",TRUE,Size,XS,,,,,C011CN02-Coat-Ariza-Rooibos_XS,,shopify,1,deny,manual,"249,00 €","249,00 €",TRUE,TRUE,,,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,"Damen-Mantel Coat Ariza in der Farbe Rooibos, fair hergestellt aus nachhaltigen Materialien","Coat Ariza besteht aus 45% org. Co, 30% rec. Nylon, 25% PU,, hergestellt aus ökologischen Materialien unter fairen Produktionsbedingungen. Crisp fresh iconic elegant timeless clean perfume neck straight sharp silhouette and dart detail. Invisible pockets lightweight non-crease concealed zip polyester cool hand wash crochet lace. Print perfect funky inspired pull ring side pockets pink black and orange print thick fabric skirt. Best seller signature waist cut pockets cotton-mix navy blue tailoring elegant cashmere. A-line short sleeves above the knee red elastane peplum detail wool-mix soft pink lining.",Coat,Coat,New,,Coat,,,,,,
C011CN02,Coat Ariza,"249,00€",,"45% org. Co, 30% rec. Nylon, 25% PU",rooibos,S,2,,Mid seat coverage Non wired powermesh back liner low curve to the reverse fixed straps quick drying comfortable.,AW2020,Crisp fresh iconic elegant timeless clean perfume neck straight sharp silhouette and dart detail. Invisible pockets lightweight non-crease concealed zip polyester cool hand wash crochet lace. Print perfect funky inspired pull ring side pockets pink black and orange print thick fabric skirt. Best seller signature waist cut pockets cotton-mix navy blue tailoring elegant cashmere. A-line short sleeves above the knee red elastane peplum detail wool-mix soft pink lining.,Side pockets flattering fit check trim to the undercollar interior lining vintage-inspired look three-quarter length sleeves. Khaki cotton blend military jacket flattering fit mock horn buttons and patch pockets showerproof black lightgrey. Side pockets flattering fit check trim to the undercollar interior lining vintage-inspired look three-quarter length sleeves. Side pockets flattering fit check trim to the undercollar interior lining vintage-inspired look three-quarter length sleeves. Iconic style heritage brand outerwear collection lightweight showerproof material full zip fastening adjustable sleeves.,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,C011CN02-Coat-Ariza-Rooibos,Coat Ariza (Rooibos),,LangerChen,Coat,"aw2020, coat, rooibos, coating, high-density, windbreaker, women, org. co, rec. nylon, pu",TRUE,Size,S,,,,,C011CN02-Coat-Ariza-Rooibos_S,,shopify,2,deny,manual,"249,00 €","249,00 €",TRUE,TRUE,,,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,"Damen-Mantel Coat Ariza in der Farbe Rooibos, fair hergestellt aus nachhaltigen Materialien","Coat Ariza (Rooibos) is made out of sustainable and organic materials in a fair production environment. The coat is functional, weather-proof and fashionable. It consists of 45% org. Co, 30% rec. Nylon, 25% PU",Coat,Coat,New,,Coat,,,,,,
C011CN02,Coat Ariza,"249,00€",,"45% org. Co, 30% rec. Nylon, 25% PU",rooibos,M,2,,Mid seat coverage Non wired powermesh back liner low curve to the reverse fixed straps quick drying comfortable.,AW2020,Crisp fresh iconic elegant timeless clean perfume neck straight sharp silhouette and dart detail. Invisible pockets lightweight non-crease concealed zip polyester cool hand wash crochet lace. Print perfect funky inspired pull ring side pockets pink black and orange print thick fabric skirt. Best seller signature waist cut pockets cotton-mix navy blue tailoring elegant cashmere. A-line short sleeves above the knee red elastane peplum detail wool-mix soft pink lining.,Side pockets flattering fit check trim to the undercollar interior lining vintage-inspired look three-quarter length sleeves. Khaki cotton blend military jacket flattering fit mock horn buttons and patch pockets showerproof black lightgrey. Side pockets flattering fit check trim to the undercollar interior lining vintage-inspired look three-quarter length sleeves. Side pockets flattering fit check trim to the undercollar interior lining vintage-inspired look three-quarter length sleeves. Iconic style heritage brand outerwear collection lightweight showerproof material full zip fastening adjustable sleeves.,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,C011CN02-Coat-Ariza-Rooibos,Coat Ariza (Rooibos),,LangerChen,Coat,"aw2020, coat, rooibos, coating, high-density, windbreaker, women, org. co, rec. nylon, pu",TRUE,Size,M,,,,,C011CN02-Coat-Ariza-Rooibos_M,,shopify,2,deny,manual,"249,00 €","249,00 €",TRUE,TRUE,,,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,"Damen-Mantel Coat Ariza in der Farbe Rooibos, fair hergestellt aus nachhaltigen Materialien","Coat Ariza (Rooibos) is made out of sustainable and organic materials in a fair production environment. The coat is functional, weather-proof and fashionable. It consists of 45% org. Co, 30% rec. Nylon, 25% PU",Coat,Coat,New,,Coat,,,,,,
C011CN02,Coat Ariza,"249,00€",,"45% org. Co, 30% rec. Nylon, 25% PU",rooibos,L,1,,Mid seat coverage Non wired powermesh back liner low curve to the reverse fixed straps quick drying comfortable.,AW2020,Crisp fresh iconic elegant timeless clean perfume neck straight sharp silhouette and dart detail. Invisible pockets lightweight non-crease concealed zip polyester cool hand wash crochet lace. Print perfect funky inspired pull ring side pockets pink black and orange print thick fabric skirt. Best seller signature waist cut pockets cotton-mix navy blue tailoring elegant cashmere. A-line short sleeves above the knee red elastane peplum detail wool-mix soft pink lining.,Side pockets flattering fit check trim to the undercollar interior lining vintage-inspired look three-quarter length sleeves. Khaki cotton blend military jacket flattering fit mock horn buttons and patch pockets showerproof black lightgrey. Side pockets flattering fit check trim to the undercollar interior lining vintage-inspired look three-quarter length sleeves. Side pockets flattering fit check trim to the undercollar interior lining vintage-inspired look three-quarter length sleeves. Iconic style heritage brand outerwear collection lightweight showerproof material full zip fastening adjustable sleeves.,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,C011CN02-Coat-Ariza-Rooibos,Coat Ariza (Rooibos),,LangerChen,Coat,"aw2020, coat, rooibos, coating, high-density, windbreaker, women, org. co, rec. nylon, pu",TRUE,Size,L,,,,,C011CN02-Coat-Ariza-Rooibos_L,,shopify,1,deny,manual,"249,00 €","249,00 €",TRUE,TRUE,,,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,"Damen-Mantel Coat Ariza in der Farbe Rooibos, fair hergestellt aus nachhaltigen Materialien","Coat Ariza (Rooibos) is made out of sustainable and organic materials in a fair production environment. The coat is functional, weather-proof and fashionable. It consists of 45% org. Co, 30% rec. Nylon, 25% PU",Coat,Coat,New,,Coat,,,,,,
C050BW05,Coat Taree,"299,00€",1240 g,"80% Eco Wool, 20% Lyocell",platinum,XS,1,,Pocket detail to sides jacquard fabric fully lined notch lapel three-button cuffs contrast stitching classic colar.,AW2020,Leather asymmetric zip fastening wide lapels snap button zipped cuffs softer texture open asymmetric neckline tab sleeves. Contemporary pure silk pocket square sophistication luxurious coral print pocket pattern On trend inspired shades. Machine wash cold slim fit premium stretch selvedge denim comfortable low waist. Best seller signature waist cut pockets cotton-mix navy blue tailoring elegant cashmere. Black knicker lining concealed back zip fasten swing style high waisted double layer full pattern floral.,Striking pewter studded epaulettes silver zips inner drawstring waist channel urban edge single-breasted jacket. Printed lining patch pockets jersey blazer built in pocket square wool casual quilted jacket without hood azure. Iconic style heritage brand outerwear collection lightweight showerproof material full zip fastening adjustable sleeves. Western-inspired suede jacket denim blue metallic button fastening summer white pure hue subtle distressed casual appeal. Iconic style heritage brand outerwear collection lightweight showerproof material full zip fastening adjustable sleeves.,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,C050BW05-Coat-Taree-Platinum,Coat Taree (Platinum),,LangerChen,Coat,"aw2020, coat, platinum, breathable, coating, membrane, pure-organic, women, eco wool, lyocell",TRUE,Size,XS,,,,,C050BW05-Coat-Taree-Platinum_XS,1240 ,shopify,1,deny,manual,"299,00 €","299,00 €",TRUE,TRUE,,,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,"Damen-Mantel Coat Taree in der Farbe Platinum, fair hergestellt aus nachhaltigen Materialien","Coat Taree (Platinum) is made out of sustainable and organic materials in a fair production environment. The coat is functional, weather-proof and fashionable. It consists of 80% Eco Wool, 20% Lyocell",Coat,Coat,New,,Coat,,,,,,
C050BW05,Coat Taree,"299,00€",1240 g,"80% Eco Wool, 20% Lyocell",platinum,S,2,,Pocket detail to sides jacquard fabric fully lined notch lapel three-button cuffs contrast stitching classic colar.,AW2020,Leather asymmetric zip fastening wide lapels snap button zipped cuffs softer texture open asymmetric neckline tab sleeves. Contemporary pure silk pocket square sophistication luxurious coral print pocket pattern On trend inspired shades. Machine wash cold slim fit premium stretch selvedge denim comfortable low waist. Best seller signature waist cut pockets cotton-mix navy blue tailoring elegant cashmere. Black knicker lining concealed back zip fasten swing style high waisted double layer full pattern floral.,Striking pewter studded epaulettes silver zips inner drawstring waist channel urban edge single-breasted jacket. Printed lining patch pockets jersey blazer built in pocket square wool casual quilted jacket without hood azure. Iconic style heritage brand outerwear collection lightweight showerproof material full zip fastening adjustable sleeves. Western-inspired suede jacket denim blue metallic button fastening summer white pure hue subtle distressed casual appeal. Iconic style heritage brand outerwear collection lightweight showerproof material full zip fastening adjustable sleeves.,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,C050BW05-Coat-Taree-Platinum,Coat Taree (Platinum),,LangerChen,Coat,"aw2020, coat, platinum, breathable, coating, membrane, pure-organic, women, eco wool, lyocell",TRUE,Size,S,,,,,C050BW05-Coat-Taree-Platinum_S,1240 ,shopify,2,deny,manual,"299,00 €","299,00 €",TRUE,TRUE,,,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,"Damen-Mantel Coat Taree in der Farbe Platinum, fair hergestellt aus nachhaltigen Materialien","Coat Taree (Platinum) is made out of sustainable and organic materials in a fair production environment. The coat is functional, weather-proof and fashionable. It consists of 80% Eco Wool, 20% Lyocell",Coat,Coat,New,,Coat,,,,,,
C050BW05,Coat Taree,"299,00€",1240 g,"80% Eco Wool, 20% Lyocell",platinum,M,2,,Pocket detail to sides jacquard fabric fully lined notch lapel three-button cuffs contrast stitching classic colar.,AW2020,Leather asymmetric zip fastening wide lapels snap button zipped cuffs softer texture open asymmetric neckline tab sleeves. Contemporary pure silk pocket square sophistication luxurious coral print pocket pattern On trend inspired shades. Machine wash cold slim fit premium stretch selvedge denim comfortable low waist. Best seller signature waist cut pockets cotton-mix navy blue tailoring elegant cashmere. Black knicker lining concealed back zip fasten swing style high waisted double layer full pattern floral.,Striking pewter studded epaulettes silver zips inner drawstring waist channel urban edge single-breasted jacket. Printed lining patch pockets jersey blazer built in pocket square wool casual quilted jacket without hood azure. Iconic style heritage brand outerwear collection lightweight showerproof material full zip fastening adjustable sleeves. Western-inspired suede jacket denim blue metallic button fastening summer white pure hue subtle distressed casual appeal. Iconic style heritage brand outerwear collection lightweight showerproof material full zip fastening adjustable sleeves.,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,C050BW05-Coat-Taree-Platinum,Coat Taree (Platinum),,LangerChen,Coat,"aw2020, coat, platinum, breathable, coating, membrane, pure-organic, women, eco wool, lyocell",TRUE,Size,M,,,,,C050BW05-Coat-Taree-Platinum_M,1240 ,shopify,2,deny,manual,"299,00 €","299,00 €",TRUE,TRUE,,,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,"Damen-Mantel Coat Taree in der Farbe Platinum, fair hergestellt aus nachhaltigen Materialien","Coat Taree (Platinum) is made out of sustainable and organic materials in a fair production environment. The coat is functional, weather-proof and fashionable. It consists of 80% Eco Wool, 20% Lyocell",Coat,Coat,New,,Coat,,,,,,
C050BW05,Coat Taree,"299,00€",1240 g,"80% Eco Wool, 20% Lyocell",platinum,L,1,,Pocket detail to sides jacquard fabric fully lined notch lapel three-button cuffs contrast stitching classic colar.,AW2020,Leather asymmetric zip fastening wide lapels snap button zipped cuffs softer texture open asymmetric neckline tab sleeves. Contemporary pure silk pocket square sophistication luxurious coral print pocket pattern On trend inspired shades. Machine wash cold slim fit premium stretch selvedge denim comfortable low waist. Best seller signature waist cut pockets cotton-mix navy blue tailoring elegant cashmere. Black knicker lining concealed back zip fasten swing style high waisted double layer full pattern floral.,Striking pewter studded epaulettes silver zips inner drawstring waist channel urban edge single-breasted jacket. Printed lining patch pockets jersey blazer built in pocket square wool casual quilted jacket without hood azure. Iconic style heritage brand outerwear collection lightweight showerproof material full zip fastening adjustable sleeves. Western-inspired suede jacket denim blue metallic button fastening summer white pure hue subtle distressed casual appeal. Iconic style heritage brand outerwear collection lightweight showerproof material full zip fastening adjustable sleeves.,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,C050BW05-Coat-Taree-Platinum,Coat Taree (Platinum),,LangerChen,Coat,"aw2020, coat, platinum, breathable, coating, membrane, pure-organic, women, eco wool, lyocell",TRUE,Size,L,,,,,C050BW05-Coat-Taree-Platinum_L,1240 ,shopify,1,deny,manual,"299,00 €","299,00 €",TRUE,TRUE,,,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,"Damen-Mantel Coat Taree in der Farbe Platinum, fair hergestellt aus nachhaltigen Materialien","Coat Taree (Platinum) is made out of sustainable and organic materials in a fair production environment. The coat is functional, weather-proof and fashionable. It consists of 80% Eco Wool, 20% Lyocell",Coat,Coat,New,,Coat,,,,,,
C050BW05,Coat Taree,"299,00€",1240 g,"80% Eco Wool, 20% Lyocell",navy,XS,1,,Pocket detail to sides jacquard fabric fully lined notch lapel three-button cuffs contrast stitching classic colar.,AW2020,Leather asymmetric zip fastening wide lapels snap button zipped cuffs softer texture open asymmetric neckline tab sleeves. Contemporary pure silk pocket square sophistication luxurious coral print pocket pattern On trend inspired shades. Machine wash cold slim fit premium stretch selvedge denim comfortable low waist. Best seller signature waist cut pockets cotton-mix navy blue tailoring elegant cashmere. Black knicker lining concealed back zip fasten swing style high waisted double layer full pattern floral.,Striking pewter studded epaulettes silver zips inner drawstring waist channel urban edge single-breasted jacket. Printed lining patch pockets jersey blazer built in pocket square wool casual quilted jacket without hood azure. Iconic style heritage brand outerwear collection lightweight showerproof material full zip fastening adjustable sleeves. Western-inspired suede jacket denim blue metallic button fastening summer white pure hue subtle distressed casual appeal. Iconic style heritage brand outerwear collection lightweight showerproof material full zip fastening adjustable sleeves.,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,C050BW05-Coat-Taree-Navy,Coat Taree (Navy),,LangerChen,Coat,"aw2020, coat, navy, breathable, coating, membrane, pure-organic, women, eco wool, lyocell",TRUE,Size,XS,,,,,C050BW05-Coat-Taree-Navy_XS,1240 ,shopify,1,deny,manual,"299,00 €","299,00 €",TRUE,TRUE,,,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,"Damen-Mantel Coat Taree in der Farbe Navy, fair hergestellt aus nachhaltigen Materialien","Coat Taree (Navy) is made out of sustainable and organic materials in a fair production environment. The coat is functional, weather-proof and fashionable. It consists of 80% Eco Wool, 20% Lyocell",Coat,Coat,New,,Coat,,,,,,
C050BW05,Coat Taree,"299,00€",1240 g,"80% Eco Wool, 20% Lyocell",navy,S,2,,Pocket detail to sides jacquard fabric fully lined notch lapel three-button cuffs contrast stitching classic colar.,AW2020,Leather asymmetric zip fastening wide lapels snap button zipped cuffs softer texture open asymmetric neckline tab sleeves. Contemporary pure silk pocket square sophistication luxurious coral print pocket pattern On trend inspired shades. Machine wash cold slim fit premium stretch selvedge denim comfortable low waist. Best seller signature waist cut pockets cotton-mix navy blue tailoring elegant cashmere. Black knicker lining concealed back zip fasten swing style high waisted double layer full pattern floral.,Striking pewter studded epaulettes silver zips inner drawstring waist channel urban edge single-breasted jacket. Printed lining patch pockets jersey blazer built in pocket square wool casual quilted jacket without hood azure. Iconic style heritage brand outerwear collection lightweight showerproof material full zip fastening adjustable sleeves. Western-inspired suede jacket denim blue metallic button fastening summer white pure hue subtle distressed casual appeal. Iconic style heritage brand outerwear collection lightweight showerproof material full zip fastening adjustable sleeves.,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,C050BW05-Coat-Taree-Navy,Coat Taree (Navy),,LangerChen,Coat,"aw2020, coat, navy, breathable, coating, membrane, pure-organic, women, eco wool, lyocell",TRUE,Size,S,,,,,C050BW05-Coat-Taree-Navy_S,1240 ,shopify,2,deny,manual,"299,00 €","299,00 €",TRUE,TRUE,,,,FALSE,,Adult,Female,Apparel & Accessories > Clothing,"Damen-Mantel Coat Taree in der Farbe Navy, fair hergestellt aus nachhaltigen Materialien","Coat Taree (Navy) is made out of sustainable and organic materials in a fair production environment. The coat is functional, weather-proof and fashionable. It consists of 80% Eco Wool, 20% Lyocell",Coat,Coat,New,,Coat,,,,,,
